timestamp,message,severity,category,metadata
2025-06-29T15:42:39.628293,Connection pool size approaching limit,WARNING,PERFORMANCE,"{'service': 'web-server', 'component': 'middleware', 'request_id': 'req_565960', 'user_id': 'user_5614'}"
2025-07-06T10:36:39.628293,Service api-gateway started successfully,INFO,SYSTEM,"{'service': 'database', 'component': 'repository', 'request_id': 'req_679691', 'user_id': 'user_2898'}"
2025-07-02T11:40:39.628293,User user_2232 logged in successfully,INFO,SYSTEM,"{'service': 'database', 'component': 'repository', 'request_id': 'req_747777', 'user_id': 'user_7739'}"
2025-07-16T05:43:39.628293,Cache hit for key task,INFO,SYSTEM,"{'service': 'web-server', 'component': 'repository', 'request_id': 'req_599263', 'user_id': 'user_8229'}"
2025-07-15T10:33:39.628293,Invalid request format: task,ERROR,SECURITY,"{'service': 'cache', 'component': 'service', 'request_id': 'req_497431', 'user_id': 'user_1903'}"
2025-07-28T10:01:39.628293,Connection pool size approaching limit,WARNING,SYSTEM,"{'service': 'auth-service', 'component': 'middleware', 'request_id': 'req_322778', 'user_id': 'user_9099'}"
2025-07-19T02:39:39.628293,User user_2365 logged in successfully,INFO,SYSTEM,"{'service': 'web-server', 'component': 'handler', 'request_id': 'req_193074', 'user_id': 'user_6312'}"
2025-07-20T20:21:39.628293,Database connection established,INFO,APPLICATION,"{'service': 'auth-service', 'component': 'service', 'request_id': 'req_335475', 'user_id': None}"
2025-07-16T01:36:39.628293,Cache hit for key request,INFO,SYSTEM,"{'service': 'auth-service', 'component': 'controller', 'request_id': 'req_591754', 'user_id': 'user_2391'}"
2025-07-06T04:40:39.628293,Request processed for endpoint /api/v1/orders in 1970ms,INFO,APPLICATION,"{'service': 'cache', 'component': 'controller', 'request_id': 'req_822685', 'user_id': 'user_4882'}"
2025-07-20T13:57:39.628293,High memory usage detected: 86%,WARNING,SYSTEM,"{'service': 'web-server', 'component': 'repository', 'request_id': 'req_539746', 'user_id': None}"
2025-07-14T13:30:39.628293,Invalid request format: request,ERROR,SECURITY,"{'service': 'web-server', 'component': 'controller', 'request_id': 'req_246102', 'user_id': 'user_3480'}"
2025-07-23T17:24:39.628293,Service cache started successfully,INFO,SYSTEM,"{'service': 'web-server', 'component': 'service', 'request_id': 'req_406207', 'user_id': None}"
